,artist_name,title,album,featured_artists,lyrics,date,url,Unnamed: 0
1274,Chico da Tina,Romarias,Minho Trapstar,[],"Boa tarde, boa tarde minha senhora
Aproximai, não tendes medo que eu não mordo
Tudo boa gente aqui entre nós e temos produtos de qualidade
Diretamente vindos da fábrica de Barcelos, e aqui uma louça...

Inícios de Setembro, Feiras Novas Ponte de Lima
Atração da noite mano é o Chico da Tina
No dia primeiro de Agosto, Senhora do Socorro
Arrebimbo com o malho no bombo aquela merda botou fogo
Dia 24 de Maio, Nossa Senhora das Dores
Dai o toque colegas avisai quando fordes
Último Domingo do mesmo mês, santinha do Amparo
Primeiro fui com o andor depois cowboyada caralho
No dia 15 de Junho, Nossa Senhora dos Aflitos
'Tou lá com os meus instrumentos povo eufórico aos gritos
Primeiro Domingo de Agosto, capela Santa Justa
Vinho verde encharco o disco até assusta

O teu trap pouca uva muita parra
A minha concertina Rui Patrício, agarra
Não é por acaso que eu sou o rei da desgarrada
'Tou-me a cagar se morro no céu continuo a farra
""Oh rapaz passa-me as castanholas""
Nada, isto é p'a quem sabe
Não é selfie stick
Queres pausar p'o insta eu dou-te uma selfie dick
Mas não é à papo seco, first you must lick
Pergunta à tua amiga ela sabe que eu não minto
Isto é roxo não é lean, é vinho verde tinto
Na escola dava-me mal fodiam-me em casa com o cinto
Devia 'tar no nono, 'tava no quinto
Mas agora 'tou no topo 9Miller não tombo
Todos os arraiais com o cavaquinho e com o bombo
'Tou com o bacalhau ando a distribuir o lombo
Qualquer coisa dai o toque sabeis bem sem estrondo

Vagueio o alto Minho à noite pela calada
No café do Silvareira jogo uma suecada
Fico a encher o bucho à pala porque quem perde é que paga
Cabaneiro mica o teu jogo, já fiz a minha jogada

És batoteiro viro tudo à biqueirada
Vou à mala do carro, cartucheira carregada
Espingardalho p'a todo lado
Acordo a freguesia
O povo sai para a rua, Romaria da Agonia
Vais p'a casa desmontado pedir ajuda à Maria
E ela volta-te a montar, ortopedia
Desencrava-te os chumbos, arqueologia
E volta-te a montar, zoofilia

Ya, Minho Trapstar, Chico da Tina
Romarias, festas de Nossa Senhora da Agonia
São João d'Arga, 'tou lá em todas p'a ti
Do primeiro ao último dia, mano
Não fales p'ra mim se não vais lá
Não fales p'ra mim se não viveste isto, mano
Não adianta, mano, tu não fazes parte
Não 'tiveste lá, és um fake
És um fake, bro
És um tradicionalista, bro
És um americanizado, bro
Tu não pensas, não tens identidade, bro
És um fake!",2019-09-05 00:00:00,https://genius.com/Chico-da-tina-romarias-lyrics,11.0
1275,Chico da Tina,Castolo,Minho Trapstar,['\u200btripsyhell'],"Fuck it get the bag, fuck it get the bag
I got that money and shit cause I rap
Bitch I don't rap
Know that you love me, I can't love you back
Can't love your back
That bitch, she want me 'cause my pockets fat
My pockets fat, my pockets fat, my pockets fat
Fucking that bitch while I'm countin' them racks
Countin' them racks
Know that she lovin the way that I flex
Way that I flex
'Tou a fazer money, eu sei que 'tás mad
Tu 'tás tão mad

O Tripsy 'tava na casa, my god
Naquela hora que me vieram chamar
Chico da Tina desliga-me a play
Agora é a tua hora tens que ir atuar
Anda-te embora carrinha parada
'Tão à tua espera bro 'tás a gozar
'Tás a gozar, 'tás a ouvir
Tás a gozar pá vai-te vestir
Hoje é dia do show, mas 'tá calado bro
Ninguém me pagou não vou atuar, sai da frente
'Tou com ele à frente da corrida Castolo
'Tá na zona eu vou cruzar, vou cruzar
Vou fazer golo
Não vou tocar, mano tu 'tás tolo
'Tou-me a divertir, havia um acordo
Não cumpriram então até logo
Quantidade não é qualidade eu sei
Mas no meu caso até é
E eu gravei num ano, um álbum, uma mixtape e um EP
Alguns gostam, outros não gostam, eu gosto mano e quê
Eu mereço cada cêntimo que 'tá no meu cachê

70 mil cêntimos neste momento são o meu cachê
700 mil cêntimos, ando aqui há seis meses, é o meu cachê
Eu não abro as nudes dessa bitch, mano 'tás com ciúmes p'a quê?
P'ra quê?

Fuck it get the bag, fuck it get the bag
I got that money and shit cause I rap
Bitch I don't rap
Know that you love me, I can't love you back
Can't love your back
That bitch, she want me 'cause my pockets fat
My pockets fat, my pockets fat, my pockets fat
Fucking that bitch while I'm countin' them racks
Countin' them racks
Know that she lovin the way that I flex
Way that I flex
'Tou a fazer money, eu sei que 'tás mad
Tu 'tás tão mad",2019-11-20 00:00:00,https://genius.com/Chico-da-tina-castolo-lyrics,12.0
1279,Chico da Tina,Triangle Chest,Minho Trapstar,[],"Eu 'tou a griffar, triangle chest
Pedro Alexandrino now on my neck
Prenda para a 'Nanda, diamante VVS
Ela usa hoje, amanhã esquece
Nunca 'tou frouxo, nunca adormeço
Querem-me ao vivo, eu ponho o preço
Antes do show eu rezo o terço

Deus pai do céu sabe que eu mereço
Que tenho o sauce tuga do começo
Trapper nostál(chico), quero progresso
Mas a saudade é avessa ao progresso
E por isso é que eu vivo num paradoxo
Mas não penso nisso, eu vivo p'o ócio
Acordei, fechei um rodei para o meu sócio
Com as editoras não fechei nenhum negócio
Tu dás um porco em troca de chouriço
Sou independente, bro, já caguei nisso
Canto o que eu quero, G, sem compromisso
Ninguém põe o dente no meu cachê
Comprei o maior plasma da loja
Só pa' minha cota poder ver o ""Você na TV""
Comprei um Chardin pa' cozinha
Só com os trocos que fiz do meu último CD
Mano, semorra nasci com estilo
Mano, semorra era o meu destino
No meu pescoço Pedro Alexandrino
Concertina dourada bro sente o brilho

Eu 'tou a griffar, triangle chest
Pedro Alexandrino now on my neck
Prenda para a 'Nanda, diamante VVS
Ela usa hoje amanhã esquece

Talhas p'o King Size funny bag
Eu pus as castanholas no meu clap
Chico da Tina mudei o trap
Não sou o Estraca nem o Valete
Caguei 'pa política, quero cheque
Sou tipo o Pedro Nunes mas mais esperto
Amo a guita, foda-se o resto
Foda-se o nabo que diz que eu não presto
Foda-se o fake artist, eu detesto
Meninos ricos a dar pa' bandidos
Eu tenho inimigos porque sou honesto
A tua estética é copypaste
A Rapnotícias sempre ignorou-me
Mano, no início eu mandei o meu som
E nem partilharam, não têm visão
Nunca viram que eu sou fresh e eles não
O rap em Portugal é uma instituição
Mas eu não preciso da validação
Eu procurava era divulgação
Mas fuck essa merda eu 'tou aqui p'as curvas
Quem me pôs no topo foi as minhas gentes
Não tenho editora, caguei nos agentes
Não precisei de amigos influentes
Eu nunca fui um youtuber da piça
Não canto nem falo p'a encher chouriça
A última vez que eu dei entrevista não houve entrevista
Seis nove com a castiça e não conto mais, segredo de justiça

Zé Pedro Lima na guitarra, meu irmão
Beat do Keslley
Chico da Tina na voz e castanholas",2019-11-20 00:00:00,https://genius.com/Chico-da-tina-triangle-chest-lyrics,16.0
1281,Chico da Tina,Linda*,E Agora Como É Que É*,['\u200btripsyhell'],"Chico da Tina, yeah, yeah
Mais um sucesso, yeah, yeah",2020-01-01 00:00:00,https://genius.com/Chico-da-tina-linda-lyrics,18.0
1283,Chico da Tina,E nós pimba,E Agora Como É Que É*,[],"          
            Lyrics for this song have yet to be released. Please check back once the song has been released.
          
        ",,https://genius.com/Chico-da-tina-e-nos-pimba-lyrics,20.0
1289,Gson,Ela Quer,---,[],"Ela quer um gangsta talk
Ela diz ""caga nas pitas, tens aqui uma lady, nigga""
Tá tudo fucked up se outra lady liga
A minha lady frita
Mas eu sei que
Ela quer um gangsta talk
A gente faz as pazes à maneira antiga
Sexo bruto parece que é rugby, nigga
Ela diz ""baby, brinca comigo"" (x2)
Ela quer um
Não tou contigo
Ainda tou a fazer p'a ver o money
Mas tu, tipo, achas que és a Jhené
Duvidas? Pega no teu phone, baby, call me
Então, esquece as outras
Elas já sabem que eu sou o teu homem
Tu sabes que és a minha honey
Também já sabes onde é a minha home
Baby, come in
Sem muito espaço pr’amassos e abraços
Nada a ver com os teus outros damos, yeah
Mas tu nunca viveste um romance como este
O que é que tens, que não tinhas antes
Mas hoje tenho outros planos
Não preciso de alertar os meus niggas
Quando eles têm o love das damas
Porque elas pensam que o amor vai cegar os meus niggas
Mas eles têm alguns crânios
Presumo que tenham alguns danos
Andas a ver outros damos
Tu queres ser a minha prenda de aniversário
Mas hoje tenho outros anos, eh
Sem muito espaço pr’amassos e abraços
Nada a ver com os teus outros damos, yeah
Mas tu nunca viveste um romance como este
O que é que tens, que não tinhas antes
Mas hoje tenho outros planos
REFRÃO
Ela quer um gangsta talk
Ela diz ""caga nas pitas, tens aqui uma lady, nigga""
Tá tudo fucked up se outra lady liga
A minha lady frita
Mas eu sei que
Ela quer um gangsta talk
A gente faz as pazes à maneira antiga
Sexo bruto parece que é rugby, nigga
Ela diz ""baby, brinca comigo"" (x2)
Ela quer um
What are you trying to say
What are you trying to say
Eu sei que eu falho-te bué
Mas esse passado eu já enterrei (já enterrei)
Fui habituado a evitar o contacto
Os meus boys não amam
Mas vamos fazer um pacto
De acreditares que o teu boy grow up
E tu ficas tipo
“Rapaz, tu não tás pronto p'a fazer vida comigo
Tu exageras, eu não curto desse teu estilo de vida ativo
Tu nunca dás barra, tu és muito convidativo”
Eu digo ""nah, isso era a vida antiga""
Mas tu ficas tipo “ok”
Mas tu, tens ciúmes por causa dessas meninas do videoclip
A mamy disse que és a única, bem-vinda ao crib
As outras são só umas bandidas aí da street
Nah, isso era a vida antiga
E tu ficas tipo
Ela quer um gangsta talk
Face com demasiadas amigas
Eu teclo às escondidas
Tu ficas indignada
E dizes que vais tomar uma atitude
Ela quer um gangsta talk
Mas tu já conheces o nigga das meninas, das rimas, da vida do crime
Mas no fim tás cá p'a suportar isso tudo
REFRÃO
Ela quer um gangsta talk
Ela diz ""caga nas pitas, tens aqui uma lady, nigga""
Tá tudo fucked up se outra lady liga
A minha lady frita
Mas eu sei que
Ela quer um gangsta talk
A gente faz as pazes à maneira antiga
Sexo bruto parece que é rugby, nigga
Ela diz ""baby, brinca comigo"" (x2)
Ela quer um gangsta talk",2015-09-27 00:00:00,https://genius.com/Gson-ela-quer-lyrics,0.0
1297,Valas,As Coisas,Check-In,[],"As coisas que ela faz quando está comigo
Faz esquecer o passado
Imagina o que eu vivo
Vais ver no meu olhar aquilo que eu não digo
Que eu não digo
As coisas que ela faz quando está comigo
Faz esquecer o passado
Imagina o que eu vivo
Vais ver no meu olhar aquilo que eu não digo
Que eu não digo

Já era tarde e eu servi 2 copos
Não dava p'ra ser de outro modo
Disseram-me tenho sorte
E eu concordo
Ela ensinou-me a ser mais lógico
A acordar sóbrio a boas horas p'ro negócio
E eu tava pronto há tanto tempo
Mas sinto que ainda é cedo
E ainda sinto o medo de me perder
Porque ponto a ponto se chega ao extremo
Libertei-me do veneno
E se cair ela não vai entender
(As coisas que ela faz) e as coisas que ela diz
Tá pronta pa bazar se souber que eu não ouvi
Cresci num bom lugar
Ela também cresceu assim
E quer viver o resto ao pé de mim

O que eu prometi vou cumprir
Não falei sem sentir
Eu sei o caminho
Não falei sem sentido
Quando eu sei não duvido
Mas como é que eu te explico?

As coisas que ela faz quando está comigo
Faz esquecer o passado
Imagina o que eu vivo
Vais ver no meu olhar aquilo que eu não digo
Que eu não digo
As coisas que ela faz quando está comigo
Faz esquecer o passado
Imagina o que eu vivo
Vais ver no meu olhar aquilo que eu não digo
Que eu não digo

Já era tarde como era costume
Mata-me à beira do lume
Fizeste-me encontrar um rumo
Sem nunca cobrar o mundo
Eu devo-te isso tudo
Não me esqueço do que juro
O horizonte ainda é longe, meu amor
A Terra ainda gira
O céu não perdeu a cor
Noites na companhia um do outro
A tentar viver a vida com sabor
(As coisas que ela faz) fizeram-nos chegar aqui
Ou foi obra do destino o dia em que a conheci
Ainda era kid, noutra era tipo
Quando gostavas tinhas de falar ao ouvido

O que eu prometi vou cumprir
Não falei sem sentir
Eu sei o caminho
Não falei sem sentido
Quando eu sei não duvido
Mas como é que eu te explico?

As coisas que ela faz quando está comigo
Faz esquecer o passado
Imagina o que eu vivo
Vais ver no meu olhar aquilo que eu não digo
Que eu não digo
As coisas que ela faz quando está comigo
Faz esquecer o passado
Imagina o que eu vivo
Vais ver no meu olhar aquilo que eu não digo
Que eu não digo",2016-10-21 00:00:00,https://genius.com/Valas-as-coisas-lyrics,5.0
1298,Valas,Presente,Check-In,['DJ Ride'],"Nunca fiquei sem palavras para falar de nós
Mas sabia que ela não gostava do meu lado raw
'Tou do teu lado, love
Com mais cuidado, posso
'Tar em contacto, logo
O mundo à parte, pode
Assistir ao que fazemos nossa vida foi diferente
Somos mais do que almas gémeas
Sente o que o meu corpo sente
Eu só acordei agora
Tenho tanto para mudar, não vás já embora

Ninguém fica sem tempo
Ninguém fica sem tempo
Se 'tiver com quem sente
Ninguém fica sem tempo
Ninguém fica sem tempo
Ninguém fica sem tempo
Se 'tiver com quem sente
Ninguém fica sem tempo

Nos teus lábios, as palavras ganham forma, fazem fogo
Nos teus olhos, a paisagem ganha um pouco mais de corpo
No teu traço, a silhueta embeleza o contorno
E o teu rasto, quando passas, faz um homem ficar louco

Nunca ficamos sem tempo
Nunca ficamos sem tema
Vamos de Jim ao Jackson
À Garota de Ipanema
Vamos do samba ao punk rock
Do tango ao dance floor
Do funk ao Hip Hop
Do soft ao hardcore
Assim

Ninguém fica sem tempo
Ninguém fica sem tempo
Se 'tiver com quem sente
Ninguém fica sem tempo
Ninguém fica sem tempo
Ninguém fica sem tempo
Se 'tiver com quem sente
Ninguém fica sem tempo

Nos teus lábios, as palavras ganham forma, fazem fogo
Nos teus olhos, a paisagem ganha um pouco mais de corpo
No teu traço, a silhueta embeleza o contorno
E o teu rasto, quando passas, faz um homem ficar louco

Yes, yes, yo
Hala
Yes, yes, yo
Hala",2018-06-01 00:00:00,https://genius.com/Valas-presente-lyrics,6.0
1299,Valas,Terapia,Check-In,[],"Lembro-me como dançavas agarrada a mim
Quando o dia acabar, eu volto a escrever
E vou dedicar todo o meu tempo a ti
Tu és a minha luz ao anoitecer

Já passa da uma, uma
Já passa da uma, uma
Já passa da uma, uma
Tu és a minha luz ao anoitecer
Já passa da uma, uma
Já passa da uma, uma
Já passa da uma, uma
Quando o dia acabar, eu volto a escrever

Na tua terapia, ficava tão colado
Ao abrigo de um abraço
E perdido ao teu lado
Tudo resto resolvia-se
Na tua terapia
Na tua terapia, ficava tão colado
Ao abrigo de um abraço
E perdido ao teu lado
Tudo resto resolvia-se
Na tua terapia

Eu só queria voltar ao dia de hoje
Um dia mais tarde, eu vou saber
Se o que eu fazia no dia de hoje
Na realidade, valia aprender
Então dá-me a dica é bom saber
Se cortei a fita na meta
Passei a vida toda a escrever
Para viver a vida correta
Não 'tá destinado no parto
Não é só sonhar no quarto
Nem fumar no parque
'Tás-te a manifestar sentado
Deixa de te armar em parvo
E desprende-te do passado
Diferencia o que eu faço

Eu durmo com a musa na cama da música, música
Eu durmo com a musa na cama da música, música
Eu durmo com a musa na cama da música, música
Eu durmo com a musa na cama da

Já passa da uma, uma
Já passa da uma, uma
Já passa da uma, uma
Tu és a minha luz ao anoitecer
Já passa da uma, uma
Já passa da uma, uma
Já passa da uma, uma
Quando o dia acabar, eu volto a escrever

Na tua terapia, ficava tão colado
Ao abrigo de um abraço
E perdido ao teu lado
Tudo resto resolvia-se
Na tua terapia
Na tua terapia, ficava tão colado
Ao abrigo de um abraço
E perdido ao teu lado
Tudo resto resolvia-se
Na tua terapia

Eu durmo com a musa na cama da música, música
Eu durmo com a musa na cama da música, música
Eu durmo com a musa na cama da música, música
Eu durmo com a musa na cama da",2018-06-01 00:00:00,https://genius.com/Valas-terapia-lyrics,7.0
1301,Valas,Raíz,Raízes de Pedra,[],"O meu lugar
Eu sei qual é
Eu sei qual é

O meu lugar estava
Distante das garras
Do horizonte sujo
E do fumo das fabricas
Não se podia errar
Como um lançador
De facas
A mão que destruía
Era a mesma que ordenava
Antes de aparecer o dia
A madrugada já esperava
O bagaço que aquecia
Quando não havia máquinas
Num campo dourado
Suor e sangue derramado
À espera do novo mundo
Como tinham sonhado
Em cantados e modinhas
Melodia sobrevive
Na taberna lá da terra
E na rua onde eu vivo
Já estive em
Tanto sitio
Mas sinto-me estranho
Ofereceram tanto vicio
Eu tenho um toque de insano
Como um bloco sem planos
A procurar magia
Tempero alentejano
Faz boa gastronomia
Viver de forma pacata
Numa moradia
Meu lugar é perfeito
Se for perfeita a companhia

O meu lugar eu sei qual é
O meu lugar eu sei qual é
O meu lugar eu sei qual é
Eu sei qual é

Eu venho da cidade de Évora
Sou filho dessa terra
Que fez de um rapper com raizes de pedra
Velhos hábitos
Putos vadios
Sotaque sádicos
Local mágico
Não se vive muito rápido
A passo e passo
Eu puxo e travo
Brindo e bebo ao passado
Cantiga é antiga Cidade tão bonita
Mas o tempo passou ao lado
Já ninguém quer aqui viver
Está tudo a imigrar
Porque são muitos a colher
E poucos a semear
E os loucos ficam plantados
Que a Dope é mais barata
Quem anda à noite nesta estrada
Não trabalha de gravata
Deixa respirar
Porque o ar é mais puro neste deserto
Pulmão do Universo É o fucking Alentejo
Orgulho de cada quadra
Orgulho de cada verso
Vamos ficar por aqui

O meu lugar eu sei qual é
O meu lugar eu sei qual é
O meu lugar eu sei qual é
Eu sei qual é",,https://genius.com/Valas-raiz-lyrics,9.0
1302,Valas,Talvez,Check-In,[],"Talvez
Talvez o melhor seja eu afastar-me
Pensar um bocado como reconquistar-te
Louco neste loop, juro que também 'tou farto
De não saber lidar com tudo o que tem mudado
Eu vi-te sair do meu lado
Agora é desculpa para assumir o errado
Sem ti não sou metade
Deixa recompensar-te
Tu sempre foste a única vida
Só temos uma, nunca perdi a vontade
Eu não estudei para o que faço, aconteceu
Se o Diabo me levar, não vou contigo para o Céu
E é isso que me custa desde o primeiro abraço
Eu disse ""eternidade"" sem aceitar o véu
Mas quem é quem para
Julgar quem corrige o que tem para
Mudar no que vi, vivo e sem caras
Com o olhar apontado como 100 armas
À espera de uma falha nossa
Nunca vamos ser só amigos
Onde ficamos nunca me disseste
Como é que eu ia ter contigo
Para ter sentido
Que seria a altura certa para ter partido
Um bom partido
Continua a escrever sem acabar o livro
Eu sou o que vivo, ao som do que digo
E eu já devia saber
Esperanças morrem cedo
E eu não devia sonhar antes de adormecer
Que é que andas a fazer, Johnny?
Eu 'tou te a ver à pressa a desperdiçar tudo o que querias ter
Tu nunca foste burro, sabes que não sabes tudo
São cortes no punho, fazes quando partes tudo
Só te sujam a alma vão-te manter no fundo
Sabes que 'tá errado, não percas o conteúdo
Ok puto?

Eu sei que o veneno
Torna a carne fraca
E é só do teu corpo
Que eu quero beber
Eu sei no momento
O que o tempo mata
Se não deixar marca
Vai desaparecer
Talvez",2018-06-01 00:00:00,https://genius.com/Valas-talvez-lyrics,10.0
1303,Valas,Dia D,Check-In,[],"Sei que dormes a pensar no que podias ser
Encontrar um lugar, sonhar, um dia ter
Não deixes de procurar até ao Dia D
Vais ter tempo para aprender, tudo pode acontecer

Dizem que o que fica na história do Homem
Quando o Homem baza, são os filhos e a sua luta
Todo o Homem chora, nem todo o Homem fala
Poucos vivem, mas todos sentem
Que todos vamos para o mesmo sítio
Se antes disso somos diferentes
Isso só depende do teu princípio

Então fica o que digo (digo, ya)
O sucesso ontem ligou (ligou, ya)
Então fica o que eu digo (digo, ya)
O sucesso ontem ligou (ligou, ya)
Chegou o Dia D
Chegou o Dia D
Chegou o Dia D
Chegou o Dia D

Sei que dormes a pensar no que podias ser
Encontrar um lugar, sonhar um dia ter
Não deixes de procurar até ao Dia D
Vais ter tempo para aprender, tudo pode acontecer

Tudo pode acontecer
Tudo pode acontecer",2018-06-01 00:00:00,https://genius.com/Valas-dia-d-lyrics,11.0
1304,Valas,El Dorado,Check-In,['DJ Sims'],"Última chamada, bagagem arrumada
Com aquele nervosinho, de jogo de final da taça
Eu sonhei que encontrava um tal estado de espírito
Nem no último suspiro o sorriso se apagava
Eternamente livre como fumo
Que dispersa a calma de um gato persa
Mas voo, parei em casa
Desde sempre na floresta à terra a fazer a festa
Eu metido em tanta merda
E quase me enganei na estrada
Agora meto a mão na massa
E o pé no esférico, Van Basten
'89 em classe
Na hora eu faço com truques e toques de master
Não tenho o bus estacionado

Eu sei que para chegar aqui foi complicado
Há que saber reagir na tempestade
Eu nunca adormeci na totalidade
Nós estamos a caminho de El Dorado
Eu sei que para chegar aqui foi complicado
Há que saber reagir na tempestade
Eu nunca adormeci na totalidade
Nós estamos a caminho de El Dorado

Do El Dorado
Última chamada, bagagem arrumada",2018-06-01 00:00:00,https://genius.com/Valas-el-dorado-lyrics,12.0
1309,Dillaz,Eu Estou Bem,Reflexo,['Vulto 75'],"Boy acredita eu estou bem
Sem cara preocupada, pela minha estrada
Não devo a ninguém
Passo a vida a andar à volta, voltas e mais voltas
Vão dar ao mesmo sítio
Podia acabar a estrada que eu amava o pouco que eu já vi
Boy acredita eu estou bem
Sem cara preocupada, pela minha estrada
Não devo a ninguém
Passo a vida a andar à volta, voltas e mais voltas
Vão dar ao mesmo sítio
Enquanto não acabar vou aproveitar
Como sempre fiz

Ah yo meu Dillaz olha p'ra mim em modo combustão
Perguntas surgem se a nossa amizade é real ou não
8 anos na batalha sem perder inspiração
Inspiro-me tanto até começar a cuspir sangue do pulmão
Perguntam qual é a sensação e a visão que eu tenho
Venho da Madorna somos poucos no rebanho
Cada vez escrevo mais e com o beat me entranho
Quero é viver bem e ter um castelo como o do desenho animado
Com direito a cognome boy, o malvado
Oiço vozes que pedem um reino quando já tenho um condado
Ainda só está no início não sei se estás preparado
A nuvem mete sombras a fazer terapia no quarto
De caminho para a batalha, o esquema que nunca falha
E com certeza que tu sabes qual é
Sangue de forcado e sou peso pesado
Para te conseguir pegar e gritar olé
Comigo é facada granada, caneta está blindada
Não acreditas passa la no mo Zé
Por aquilo que está escrito no sitio onde reflito
Dito e grito 75 oh yeah
E se isto acabar e eu espero que seja nunca
Nós voltamos a tentar senta-te e escuta
Volto-me a fechar ao escuro, no centro da gruta
Na luta disputa nao muda a conduta, é agora ou nunca

Boy acredita eu estou bem
Sem cara preocupada, pela minha estrada
Não devo a ninguém
Passo a vida a andar à volta, voltas e mais voltas
Vão dar ao mesmo sítio
Podia acabar a estrada que eu amava o pouco que eu já vi
Boy acredita eu estou bem
Sem cara preocupada, pela minha estrada
Não devo a ninguém
Passo a vida a andar à volta, voltas e mais voltas
Vão dar ao mesmo sítio
Enquanto não acabar vou aproveitar
Como sempre fiz

Meu puto Vulto cá se vai no mundo, em que aterrei no chão
Loirinho desde a nascença, sem ter descoloração
E a dica? já está gravada
E o Benfica? nem me lembrei
E a birra? já está a metade
E o pica? já o matei
E um sócio alucinado a dizer que eu o ultrapassei
E eu estava num estúdio a bulir nem foi na fila que eu esperei
Bocas e mais bocas por um triz não me aleijei
Mas sabes que eu sou um gajo calmo por isso não me enervei
Ma men se vens por bem, queres respeito? toma eu dou-te
Mas encara a verdade mesmo a que cai no goto
Se vens para chatear, não vai dar, não dou troco
Que eu estou nas avencas a ver quengas de um lado para o outro
Sem pescoço para medalhas e sem mão para prémio Nobel
Não quero ser vedeta na praceta um automovel
Nas redes sociais engatar uma top model
Que é para um dia descobrir que ela é melhor no telemóvel
Pois tudo o que é imóvel vai endurecer com o tempo
Como uma relação com um saco de cimento
Venero toda a mulher, é a causa do nascimento
Mas há querida muito gira e muito burra ao mesmo tempo
E há que manter a estrada mesmo na curva apertada
Devagar, o depressa causa vento
E eu vim até aqui sempre na broa com alturas menos boas
Mas estou bem, é preciso é estar contente

Boy acredita eu estou bem
Sem cara preocupada, pela minha estrada
Não devo a ninguém
Passo a vida a andar à volta, voltas e mais voltas
Vão dar ao mesmo sítio
Podia acabar a estrada que eu amava o pouco que eu já vi
Boy acredita eu estou bem
Sem cara preocupada, pela minha estrada
Não devo a ninguém
Passo a vida a andar à volta, voltas e mais voltas
Vão dar ao mesmo sítio
Podia acabar a estrada que eu amava o pouco que eu já vi
Boy acredita eu estou bem
Sem cara preocupada, pela minha estrada
Não devo a ninguém
Passo a vida a andar à volta, voltas e mais voltas
Vão dar ao mesmo sítio
Enquanto não acabar vou aproveitar
Como sempre fiz",2016-05-29 00:00:00,https://genius.com/Dillaz-eu-estou-bem-lyrics,3.0
1312,Dillaz,Madrigal,Reflexo,[],"Quem é que anda aí?!
Quem é que anda aí?!

Vou tentando andar só de baixo para cima
Que de cima para baixo assim eu não me safo
A tentar limar os ataques na esgrima
De rima para rima de bafo para bafo
Neste pequeno espaço onde circula o tubarão
Andam à procura do Nemo
Se é para fazer rap só com uma maraca na mão
Deixa estar que eu desemerdo-me
Aquilo que eu herdo é tristeza
A minha avó não vê crescer o neto
Deitada na cama daquele hospital
Já sem ver o céu só rezava para o tecto
Afecto não falta, (não não), desde fedelho que nunca faltou
Eu não piso a ribalta
Parto os joelhos a quem diz que o Dillaz a pisou
Mandaram mau olhado mas não me acertou
Aposto que a moca me causou estrabismo
Chamaram-me cão mas quem me atiçou
Morreu sem ver marcas no seu organismo
Não sabias que eu e rap só temos contactos por espiritismo?
A meio da noite eu levanto-me da cama
A dama até me acusa de sonambulismo
Diz-me tu, porque é que criticas fazendo como por lazer?
Tantas maldades e barbaridades que a tua boca anda a dizer
Tenta acalmar o teu estado
Que há muito sentado no banco do réu
E tu ai pausado com o teu gang falso
Vai acabar descalço e com a picha ao léu
Há quem te esfaqueie por um béu
Há quem queira ter uma casa, levantar um véu
Agradece pelo pitéu
Respeita a cerveja para o chão e um bafo para o céu (céu)
Querida tira esse teu robe
Não é preciso um blowjob para subires no piso
E não me venhas chamar filho da puta
Que já sabes que o Dillaz é um filho da peace
E quantos esperam o meu deslize?
Quantos disseram o que eu disse?
Pediram please
Para aparecer e pausar e dizer a cantar tudo isso
Quantos mamaram no pisso?
O feitiço dos haters que andam à beira de morrer
Fazem com que sejam 5 da manhã e eu não consigo adormecer
Só oiço uma voz a dizer:
Dillaz?
Quem é que anda aí pa?!
Dillaz?

Se é para escolher entre o rap ou a vida
Levem-me a vida que o rap faz falta
Em mim bate como ketamina
É ele que ensina é ele que me exalta
Mas há malta que anda a tentar raptar a vertente
Para tentar vende-la na televisão
E duma maneira pouco inteligente
Ficaram na montra para a exposição
Dillaz tu (pshh)
Tens a noção com essa dica tu tas a ser mau como as cobras?
Dillaz tu (pshh)
Tu tens a noção de quantos rappers tugas trabalham nas obras?
Não venhas dizer que te matas e esfolas
Com cara de assustado e com a mão nas bolas
Que eu já vi que passas-te no swag e chumbas-te na knowledge
Chamam artistas para encher casotas
Mas estão se a cagar para aquele que lá toque
Queres baixar o preço? Arranja uma nova
Eu tenho a fofa em casa à espera do envelope
Chama-lhe esforço, chama-lhe sorte
Andar assim não 'tava nos meus planos
Já me disseram que eu estou a galope
Como andaram os meus primos há uns anos
Estão de fininho e estão danadinhos para me verem cair
Não me ponham na boca do povo que eu não vejo lobos
Só cães a ganir
E no dia que o meu barco afundar, tu podes gozar
Tu podes falar que eu não me aflijo
Porque se eu fui um senhor no luxo
Boy, eu vou ser um senhor no lixo!

Dillaz fucking mc",2016-05-29 00:00:00,https://genius.com/Dillaz-madrigal-lyrics,6.0
